benchmark,sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_mean_iou,hpc_rgssb_mean_iou,mean_iou_change,baseline_precision_20,hpc_precision_20,precision_20_change,baseline_center_error,hpc_center_error,center_error_change,best_model,outcome,note
NFS,nfs_horse_running,low_resolution_medium,low_resolution,medium,42,0.719424,0.740580,+0.021156,0.721670,0.743293,+0.021623,0.553957,0.633094,+0.079137,19.056859,17.745058,-1.311801,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_horse_running,gaussian_noise_medium,gaussian_noise,medium,42,0.716504,0.740580,+0.024076,0.718519,0.742776,+0.024257,0.546763,0.625899,+0.079136,19.239122,17.547956,-1.691166,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_motorcross,clean,clean,none,0,0.648134,0.643564,-0.004570,0.649814,0.644755,-0.005059,0.435897,0.512821,+0.076924,32.251061,32.447582,+0.196521,baseline,neutral,near neutral by AUC
NFS,nfs_motorcross,motion_blur_medium,motion_blur,medium,42,0.601422,0.589236,-0.012186,0.602038,0.589535,-0.012503,0.256410,0.256410,+0.000000,53.350868,50.908501,-2.442367,baseline,neutral,near neutral by AUC
NFS,nfs_motorcross,low_resolution_medium,low_resolution,medium,42,0.690023,0.615638,-0.074385,0.692073,0.616214,-0.075859,0.410256,0.410256,+0.000000,33.576489,34.935132,+1.358643,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_motorcross,gaussian_noise_medium,gaussian_noise,medium,42,0.626047,0.610561,-0.015486,0.626875,0.610914,-0.015961,0.282051,0.230769,-0.051282,46.500334,56.436088,+9.935754,baseline,neutral,near neutral by AUC
NFS,nfs_person_scooter,clean,clean,none,0,0.775514,0.745091,-0.030423,0.778492,0.747259,-0.031233,0.956416,0.958838,+0.002422,5.148648,5.217436,+0.068788,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_person_scooter,motion_blur_medium,motion_blur,medium,42,0.782849,0.728766,-0.054083,0.785471,0.730926,-0.054545,0.963680,0.949153,-0.014527,5.411899,5.487300,+0.075401,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_person_scooter,low_resolution_medium,low_resolution,medium,42,0.779014,0.746722,-0.032292,0.781897,0.749062,-0.032835,0.958838,0.958838,+0.000000,5.185011,5.233501,+0.048490,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_person_scooter,gaussian_noise_medium,gaussian_noise,medium,42,0.726944,0.692878,-0.034066,0.729188,0.694791,-0.034397,0.951574,0.951574,+0.000000,5.584589,5.779324,+0.194735,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_soccer_player_2,clean,clean,none,0,0.477686,0.466806,-0.010880,0.475764,0.464684,-0.011080,0.654737,0.646316,-0.008421,72.774749,73.326994,+0.552245,baseline,neutral,near neutral by AUC
NFS,nfs_soccer_player_2,motion_blur_medium,motion_blur,medium,42,0.505284,0.614612,+0.109328,0.503737,0.614766,+0.111029,0.677895,0.825263,+0.147368,71.706497,27.441503,-44.264994,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_soccer_player_2,low_resolution_medium,low_resolution,medium,42,0.486691,0.477249,-0.009442,0.484774,0.475439,-0.009335,0.654737,0.648421,-0.006316,72.829451,73.222403,+0.392952,baseline,neutral,near neutral by AUC
NFS,nfs_soccer_player_2,gaussian_noise_medium,gaussian_noise,medium,42,0.473809,0.470516,-0.003293,0.472044,0.468541,-0.003503,0.661053,0.654737,-0.006316,72.638434,72.922047,+0.283613,baseline,neutral,near neutral by AUC
NFS,nfs_basketball_1,clean,clean,none,0,0.764518,0.752159,-0.012359,0.766868,0.754431,-0.012437,1.000000,1.000000,+0.000000,2.331067,2.305562,-0.025505,baseline,neutral,near neutral by AUC
NFS,nfs_basketball_1,motion_blur_medium,motion_blur,medium,42,0.752545,0.732533,-0.020012,0.754688,0.734560,-0.020128,0.996454,0.996454,+0.000000,2.622226,2.618470,-0.003756,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_basketball_1,low_resolution_medium,low_resolution,medium,42,0.760059,0.749105,-0.010954,0.762210,0.751368,-0.010842,1.000000,1.000000,+0.000000,2.330766,2.381616,+0.050850,baseline,neutral,near neutral by AUC
NFS,nfs_basketball_1,gaussian_noise_medium,gaussian_noise,medium,42,0.747209,0.752721,+0.005512,0.749264,0.755072,+0.005808,1.000000,1.000000,+0.000000,2.477848,2.513104,+0.035256,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_biker_acrobat,clean,clean,none,0,0.850712,0.849474,-0.001238,0.854093,0.853060,-0.001033,0.804688,0.812500,+0.007812,9.839638,9.647567,-0.192071,baseline,neutral,near neutral by AUC
NFS,nfs_biker_acrobat,motion_blur_medium,motion_blur,medium,42,0.842976,0.844291,+0.001315,0.846372,0.847551,+0.001179,0.921875,0.882812,-0.039063,9.275243,9.240544,-0.034699,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_biker_acrobat,low_resolution_medium,low_resolution,medium,42,0.853419,0.847618,-0.005801,0.857048,0.851296,-0.005752,0.812500,0.789062,-0.023438,9.508850,9.751654,+0.242804,baseline,neutral,near neutral by AUC
NFS,nfs_biker_acrobat,gaussian_noise_medium,gaussian_noise,medium,42,0.840733,0.834158,-0.006575,0.844137,0.837457,-0.006680,0.781250,0.789062,+0.007812,11.317769,11.404345,+0.086576,baseline,neutral,near neutral by AUC
NFS,nfs_biker_all_1,clean,clean,none,0,0.897923,0.891440,-0.006483,0.902137,0.894776,-0.007361,0.929204,0.929204,+0.000000,6.978448,7.485351,+0.506903,baseline,neutral,near neutral by AUC
NFS,nfs_biker_all_1,motion_blur_medium,motion_blur,medium,42,0.884342,0.871287,-0.013055,0.888385,0.874596,-0.013789,0.938053,0.920354,-0.017699,8.153566,8.990708,+0.837142,baseline,neutral,near neutral by AUC
NFS,nfs_biker_all_1,low_resolution_medium,low_resolution,medium,42,0.896609,0.889074,-0.007535,0.900687,0.893001,-0.007686,0.955752,0.929204,-0.026548,7.074881,7.695768,+0.620887,baseline,neutral,near neutral by AUC
NFS,nfs_biker_all_1,gaussian_noise_medium,gaussian_noise,medium,42,0.904495,0.897135,-0.007360,0.908459,0.900929,-0.007530,0.964602,0.938053,-0.026549,6.354437,7.050787,+0.696350,baseline,neutral,near neutral by AUC
NFS,nfs_biker_whole_body,clean,clean,none,0,0.786159,0.793758,+0.007599,0.788930,0.796754,+0.007824,0.804196,0.825175,+0.020979,14.701556,13.434677,-1.266879,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_biker_whole_body,motion_blur_medium,motion_blur,medium,42,0.796562,0.800336,+0.003774,0.799293,0.803306,+0.004013,0.833916,0.860140,+0.026224,13.350999,12.438606,-0.912393,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_biker_whole_body,low_resolution_medium,low_resolution,medium,42,0.790366,0.798865,+0.008499,0.793436,0.801786,+0.008350,0.797203,0.858392,+0.061189,14.141384,12.809396,-1.331988,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_biker_whole_body,gaussian_noise_medium,gaussian_noise,medium,42,0.774735,0.778076,+0.003341,0.777526,0.780880,+0.003354,0.776224,0.814685,+0.038461,15.741457,14.837504,-0.903953,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_bowling_1,clean,clean,none,0,0.808614,0.830278,+0.021664,0.811460,0.833198,+0.021738,0.937294,0.953795,+0.016501,8.424582,6.484630,-1.939952,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_bowling_1,motion_blur_medium,motion_blur,medium,42,0.810117,0.818253,+0.008136,0.813261,0.820812,+0.007551,0.943894,0.937294,-0.006600,6.165038,8.151804,+1.986766,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_bowling_1,low_resolution_medium,low_resolution,medium,42,0.802960,0.204882,-0.598078,0.805796,0.198100,-0.607696,0.933993,0.247525,-0.686468,8.031631,170.234310,+162.202679,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_bowling_1,gaussian_noise_medium,gaussian_noise,medium,42,0.787995,0.808614,+0.020619,0.790946,0.811514,+0.020568,0.957096,0.963696,+0.006600,7.163610,6.113703,-1.049907,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_car_camaro,clean,clean,none,0,0.743124,0.728823,-0.014301,0.745588,0.731246,-0.014342,0.833333,0.805556,-0.027777,9.185961,11.274577,+2.088616,baseline,neutral,near neutral by AUC
NFS,nfs_car_camaro,motion_blur_medium,motion_blur,medium,42,0.746975,0.744774,-0.002201,0.749062,0.746985,-0.002077,0.888889,0.861111,-0.027778,8.956700,10.059323,+1.102623,baseline,neutral,near neutral by AUC
NFS,nfs_car_camaro,low_resolution_medium,low_resolution,medium,42,0.734873,0.738724,+0.003851,0.737242,0.740293,+0.003051,0.833333,0.833333,+0.000000,10.539709,12.101600,+1.561891,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_car_camaro,gaussian_noise_medium,gaussian_noise,medium,42,0.717272,0.727448,+0.010176,0.719946,0.729561,+0.009615,0.805556,0.777778,-0.027778,14.209402,15.562076,+1.352674,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_car_rc_rolling,clean,clean,none,0,0.509422,0.469179,-0.040243,0.509925,0.466751,-0.043174,0.612903,0.564516,-0.048387,46.955740,184.609709,+137.653969,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_car_rc_rolling,motion_blur_medium,motion_blur,medium,42,0.471575,0.466784,-0.004791,0.469533,0.464522,-0.005011,0.548387,0.516129,-0.032258,184.100119,184.763843,+0.663724,baseline,neutral,near neutral by AUC
NFS,nfs_car_rc_rolling,low_resolution_medium,low_resolution,medium,42,0.514372,0.483232,-0.031140,0.514511,0.481281,-0.033230,0.612903,0.548387,-0.064516,45.499206,182.884365,+137.385159,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_car_rc_rolling,gaussian_noise_medium,gaussian_noise,medium,42,0.436921,0.427340,-0.009581,0.433838,0.423634,-0.010204,0.516129,0.500000,-0.016129,187.273573,188.546329,+1.272756,baseline,neutral,near neutral by AUC
NFS,nfs_car_side,clean,clean,none,0,0.847635,0.834525,-0.013110,0.850995,0.837830,-0.013165,0.972222,0.962963,-0.009259,6.908774,7.461283,+0.552509,baseline,neutral,near neutral by AUC
NFS,nfs_car_side,motion_blur_medium,motion_blur,medium,42,0.823799,0.830858,+0.007059,0.827608,0.834297,+0.006689,0.925926,0.962963,+0.037037,8.112019,7.965250,-0.146769,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_car_side,low_resolution_medium,low_resolution,medium,42,0.846810,0.835075,-0.011735,0.850605,0.838174,-0.012431,0.981481,0.972222,-0.009259,7.074173,7.575667,+0.501494,baseline,neutral,near neutral by AUC
NFS,nfs_car_side,gaussian_noise_medium,gaussian_noise,medium,42,0.805922,0.799505,-0.006417,0.808775,0.802205,-0.006570,0.944444,0.962963,+0.018519,9.330501,8.948752,-0.381749,baseline,neutral,near neutral by AUC
NFS,nfs_dog_1,clean,clean,none,0,0.691360,0.680045,-0.011315,0.692886,0.681006,-0.011880,0.821429,0.803571,-0.017858,41.722488,66.518719,+24.796231,baseline,neutral,near neutral by AUC
NFS,nfs_dog_1,motion_blur_medium,motion_blur,medium,42,0.670262,0.662600,-0.007662,0.671116,0.663594,-0.007522,0.785714,0.761905,-0.023809,72.257112,79.463036,+7.205924,baseline,neutral,near neutral by AUC
NFS,nfs_dog_1,low_resolution_medium,low_resolution,medium,42,0.686587,0.676509,-0.010078,0.688221,0.677604,-0.010617,0.809524,0.803571,-0.005953,45.176006,78.731566,+33.555560,baseline,neutral,near neutral by AUC
NFS,nfs_dog_1,gaussian_noise_medium,gaussian_noise,medium,42,0.673621,0.685349,+0.011728,0.674702,0.686793,+0.012091,0.815476,0.815476,+0.000000,74.960236,50.223141,-24.737095,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_drone,clean,clean,none,0,0.261952,0.304526,+0.042574,0.258389,0.300668,+0.042279,0.271429,0.342857,+0.071428,181.655227,248.323060,+66.667833,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_drone,motion_blur_medium,motion_blur,medium,42,0.241726,0.288967,+0.047241,0.237918,0.284924,+0.047006,0.257143,0.342857,+0.085714,213.578421,212.398015,-1.180406,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_drone,low_resolution_medium,low_resolution,medium,42,0.254880,0.329844,+0.074964,0.250933,0.325968,+0.075035,0.300000,0.414286,+0.114286,208.286549,200.260774,-8.025775,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_drone,gaussian_noise_medium,gaussian_noise,medium,42,0.194908,0.228854,+0.033946,0.189493,0.223515,+0.034022,0.185714,0.228571,+0.042857,269.029467,219.825805,-49.203662,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_footbal_skill,clean,clean,none,0,0.456957,0.519764,+0.062807,0.455114,0.519046,+0.063932,0.473282,0.564885,+0.091603,108.110744,55.237159,-52.873585,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_footbal_skill,motion_blur_medium,motion_blur,medium,42,0.416371,0.476986,+0.060615,0.413530,0.475754,+0.062224,0.435115,0.519084,+0.083969,143.349952,65.028674,-78.321278,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_footbal_skill,low_resolution_medium,low_resolution,medium,42,0.485375,0.432394,-0.052981,0.484007,0.429881,-0.054126,0.511450,0.450382,-0.061068,100.050748,139.833356,+39.782608,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_footbal_skill,gaussian_noise_medium,gaussian_noise,medium,42,0.490137,0.486055,-0.004082,0.488593,0.484836,-0.003757,0.511450,0.511450,+0.000000,69.466588,64.570451,-4.896137,baseline,neutral,near neutral by AUC
NFS,nfs_helicopter,clean,clean,none,0,0.573108,0.568892,-0.004216,0.573547,0.569263,-0.004284,0.977419,0.977419,+0.000000,4.346985,4.253338,-0.093647,baseline,neutral,near neutral by AUC
NFS,nfs_helicopter,motion_blur_medium,motion_blur,medium,42,0.612073,0.612233,+0.000160,0.613092,0.613273,+0.000181,0.964516,0.964516,+0.000000,14.744158,9.391573,-5.352585,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_helicopter,low_resolution_medium,low_resolution,medium,42,0.598595,0.587704,-0.010891,0.599094,0.588307,-0.010787,0.974194,0.967742,-0.006452,6.254791,11.727824,+5.473033,baseline,neutral,near neutral by AUC
NFS,nfs_helicopter,gaussian_noise_medium,gaussian_noise,medium,42,0.578569,0.633504,+0.054935,0.578964,0.634862,+0.055898,0.980645,0.980645,+0.000000,3.735941,3.914860,+0.178919,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_parkour,clean,clean,none,0,0.538068,0.580232,+0.042164,0.538750,0.580595,+0.041845,0.672414,0.741379,+0.068965,30.142546,23.492905,-6.649641,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_parkour,motion_blur_medium,motion_blur,medium,42,0.594059,0.569136,-0.024923,0.594854,0.568621,-0.026233,0.741379,0.741379,+0.000000,31.933746,31.544945,-0.388801,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_parkour,low_resolution_medium,low_resolution,medium,42,0.678559,0.563674,-0.114885,0.680351,0.563613,-0.116738,0.879310,0.724138,-0.155172,13.064805,28.061769,+14.996964,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_parkour,gaussian_noise_medium,gaussian_noise,medium,42,0.553260,0.604131,+0.050871,0.553076,0.604370,+0.051294,0.706897,0.775862,+0.068965,30.133924,20.042847,-10.091077,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_running_100_m,clean,clean,none,0,0.746339,0.738114,-0.008225,0.748603,0.740512,-0.008091,0.753994,0.744409,-0.009585,19.208079,19.610074,+0.401995,baseline,neutral,near neutral by AUC
NFS,nfs_running_100_m,motion_blur_medium,motion_blur,medium,42,0.740455,0.730933,-0.009522,0.743115,0.733057,-0.010058,0.747604,0.728435,-0.019169,19.112464,21.208996,+2.096532,baseline,neutral,near neutral by AUC
NFS,nfs_running_100_m,low_resolution_medium,low_resolution,medium,42,0.746465,0.738019,-0.008446,0.748967,0.740229,-0.008738,0.750799,0.744409,-0.006390,19.052141,19.474298,+0.422157,baseline,neutral,near neutral by AUC
NFS,nfs_running_100_m,gaussian_noise_medium,gaussian_noise,medium,42,0.746813,0.733338,-0.013475,0.749443,0.735810,-0.013633,0.738019,0.734824,-0.003195,19.100436,19.690050,+0.589614,baseline,neutral,near neutral by AUC
NFS,nfs_soccer_ball_2,clean,clean,none,0,0.736375,0.740342,+0.003967,0.738496,0.742371,+0.003875,0.990176,0.990176,+0.000000,4.310054,4.047211,-0.262843,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_soccer_ball_2,motion_blur_medium,motion_blur,medium,42,0.656035,0.665803,+0.009768,0.657324,0.667050,+0.009726,0.981903,0.979317,-0.002586,4.921749,4.960396,+0.038647,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_soccer_ball_2,low_resolution_medium,low_resolution,medium,42,0.643354,0.721242,+0.077888,0.644104,0.723085,+0.078981,0.876939,0.988108,+0.111169,20.238534,4.415855,-15.822679,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_soccer_ball_2,gaussian_noise_medium,gaussian_noise,medium,42,0.725588,0.723479,-0.002109,0.727544,0.725393,-0.002151,0.987590,0.988108,+0.000518,4.097317,4.044322,-0.052995,baseline,neutral,near neutral by AUC
NFS,nfs_tiger,clean,clean,none,0,0.697905,0.705452,+0.007547,0.699788,0.707394,+0.007606,0.987789,0.987789,+0.000000,5.814692,5.716107,-0.098585,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_tiger,motion_blur_medium,motion_blur,medium,42,0.685179,0.693547,+0.008368,0.686982,0.695409,+0.008427,0.989075,0.989717,+0.000642,5.550572,5.468927,-0.081645,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_tiger,low_resolution_medium,low_resolution,medium,42,0.698949,0.706680,+0.007731,0.700893,0.708779,+0.007886,0.984576,0.982005,-0.002571,6.010994,5.892651,-0.118343,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_tiger,gaussian_noise_medium,gaussian_noise,medium,42,0.710351,0.724528,+0.014177,0.712425,0.726746,+0.014321,0.986504,0.984576,-0.001928,5.690881,5.622111,-0.068770,hpc_rgssb,neutral,near neutral by AUC
