benchmark,sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_mean_iou,hpc_rgssb_mean_iou,mean_iou_change,baseline_precision_20,hpc_precision_20,precision_20_change,baseline_center_error,hpc_center_error,center_error_change,best_model,outcome,note
UAV123,uav_person3,gaussian_noise_medium,gaussian_noise,medium,42,0.856859,0.843324,-0.013535,0.860278,0.846845,-0.013433,1.000000,1.000000,+0.000000,2.087122,2.253938,+0.166816,baseline,neutral,near neutral by AUC
UAV123,uav_car11,clean,clean,none,0,0.483503,0.488410,+0.004907,nan,nan,nan,0.792285,0.818991,+0.026706,nan,nan,nan,hpc_rgssb,neutral,near neutral by AUC
UAV123,uav_car11,motion_blur_medium,motion_blur,medium,42,0.027000,0.030673,+0.003673,nan,nan,nan,0.032641,0.044510,+0.011869,nan,nan,nan,hpc_rgssb,neutral,near neutral by AUC
UAV123,uav_car11,low_resolution_medium,low_resolution,medium,42,0.361078,0.110497,-0.250581,nan,nan,nan,0.727003,0.210682,-0.516321,nan,nan,nan,baseline,drop,OSTrack baseline improves AUC
UAV123,uav_car11,gaussian_noise_medium,gaussian_noise,medium,42,0.125657,0.336634,+0.210977,nan,nan,nan,0.243323,0.706231,+0.462908,nan,nan,nan,hpc_rgssb,gain,RG-SSB improves AUC
UAV123,uav_car12,clean,clean,none,0,0.453501,0.107839,-0.345662,nan,nan,nan,0.569138,0.152305,-0.416833,nan,nan,nan,baseline,drop,OSTrack baseline improves AUC
UAV123,uav_car12,motion_blur_medium,motion_blur,medium,42,0.302347,0.053692,-0.248655,nan,nan,nan,0.494990,0.138277,-0.356713,nan,nan,nan,baseline,drop,OSTrack baseline improves AUC
UAV123,uav_car12,low_resolution_medium,low_resolution,medium,42,0.353420,0.104744,-0.248676,nan,nan,nan,0.478958,0.126253,-0.352705,nan,nan,nan,baseline,drop,OSTrack baseline improves AUC
UAV123,uav_car12,gaussian_noise_medium,gaussian_noise,medium,42,0.081966,0.412627,+0.330661,nan,nan,nan,0.092184,0.579158,+0.486974,nan,nan,nan,hpc_rgssb,gain,RG-SSB improves AUC
UAV123,uav_car13,clean,clean,none,0,0.658356,0.650435,-0.007921,0.659725,0.651657,-0.008068,1.000000,1.000000,+0.000000,1.775364,1.924783,+0.149419,baseline,neutral,near neutral by AUC
UAV123,uav_car13,motion_blur_medium,motion_blur,medium,42,0.469832,0.482834,+0.013002,0.469234,0.482118,+0.012884,0.985542,0.978313,-0.007229,3.390872,3.803226,+0.412354,hpc_rgssb,neutral,near neutral by AUC
UAV123,uav_car13,low_resolution_medium,low_resolution,medium,42,0.659788,0.648217,-0.011571,0.661084,0.649493,-0.011591,1.000000,1.000000,+0.000000,2.073955,2.175925,+0.101970,baseline,neutral,near neutral by AUC
UAV123,uav_car13,gaussian_noise_medium,gaussian_noise,medium,42,0.644423,0.644757,+0.000334,0.645552,0.646063,+0.000511,1.000000,1.000000,+0.000000,1.961418,1.882607,-0.078811,hpc_rgssb,neutral,near neutral by AUC
UAV123,uav_person10,clean,clean,none,0,0.727010,0.728300,+0.001290,nan,nan,nan,0.833497,0.834476,+0.000979,nan,nan,nan,hpc_rgssb,neutral,near neutral by AUC
UAV123,uav_person10,motion_blur_medium,motion_blur,medium,42,0.693758,0.705026,+0.011268,nan,nan,nan,0.827620,0.830558,+0.002938,nan,nan,nan,hpc_rgssb,neutral,near neutral by AUC
UAV123,uav_person10,low_resolution_medium,low_resolution,medium,42,0.722986,0.725846,+0.002860,nan,nan,nan,0.832517,0.832517,+0.000000,nan,nan,nan,hpc_rgssb,neutral,near neutral by AUC
UAV123,uav_person10,gaussian_noise_medium,gaussian_noise,medium,42,0.720270,0.719465,-0.000805,nan,nan,nan,0.828599,0.831538,+0.002939,nan,nan,nan,baseline,neutral,near neutral by AUC
UAV123,uav_person12_1,clean,clean,none,0,0.769905,0.765951,-0.003954,0.772455,0.768735,-0.003720,1.000000,1.000000,+0.000000,4.720325,4.757898,+0.037573,baseline,neutral,near neutral by AUC
UAV123,uav_person12_1,motion_blur_medium,motion_blur,medium,42,0.758801,0.752030,-0.006771,0.761069,0.754682,-0.006387,0.976705,0.995008,+0.018303,5.640293,5.879601,+0.239308,baseline,neutral,near neutral by AUC
UAV123,uav_person12_1,low_resolution_medium,low_resolution,medium,42,0.773348,0.768159,-0.005189,0.775939,0.770691,-0.005248,1.000000,0.998336,-0.001664,4.866332,5.001237,+0.134905,baseline,neutral,near neutral by AUC
UAV123,uav_person12_1,gaussian_noise_medium,gaussian_noise,medium,42,0.776083,0.771635,-0.004448,0.778768,0.774387,-0.004381,0.998336,0.998336,+0.000000,4.731723,4.806106,+0.074383,baseline,neutral,near neutral by AUC
UAV123,uav_person14_1,clean,clean,none,0,0.164635,0.743030,+0.578395,nan,nan,nan,0.219599,0.949233,+0.729634,nan,nan,nan,hpc_rgssb,gain,RG-SSB improves AUC
UAV123,uav_person14_1,motion_blur_medium,motion_blur,medium,42,0.398915,0.686266,+0.287351,nan,nan,nan,0.545455,0.944510,+0.399055,nan,nan,nan,hpc_rgssb,gain,RG-SSB improves AUC
UAV123,uav_person14_1,low_resolution_medium,low_resolution,medium,42,0.172057,0.737185,+0.565128,nan,nan,nan,0.224321,0.945691,+0.721370,nan,nan,nan,hpc_rgssb,gain,RG-SSB improves AUC
