sequence,condition,degradation,severity,seed,status,baseline_auc,rgssb_head_auc,auc_change,baseline_precision_20,rgssb_head_precision_20,precision_20_change,baseline_mean_center_error,rgssb_head_mean_center_error,center_error_change,baseline_mean_iou,rgssb_head_mean_iou,mean_iou_change,baseline_frames,rgssb_head_frames,note
Car1,clean,clean,none,0,ok,0.575995,0.749728,0.173733,0.746078,0.983333,0.237255,16.455626,2.481011,-13.974615,0.575457,0.752178,0.176721,1020,1020,improved by AUC
Car1,motion_blur_medium,motion_blur,medium,42,ok,0.157212,0.163638,0.006426,0.198039,0.212745,0.014706,82.957024,76.467148,-6.489876,0.150176,0.156940,0.006764,1020,1020,improved by AUC
Car1,low_resolution_medium,low_resolution,medium,42,ok,0.214881,0.229247,0.014366,0.267647,0.291176,0.023529,55.176579,58.656204,3.479625,0.208387,0.223063,0.014676,1020,1020,improved by AUC
Car1,gaussian_noise_medium,gaussian_noise,medium,42,ok,0.207270,0.245312,0.038042,0.250980,0.322549,0.071569,64.898727,56.320698,-8.578029,0.200663,0.239326,0.038663,1020,1020,improved by AUC
David2,clean,clean,none,0,ok,0.794439,0.774656,-0.019783,1.000000,1.000000,0.000000,1.541015,1.598602,0.057587,0.796766,0.776996,-0.019770,537,537,worse by AUC
David2,motion_blur_medium,motion_blur,medium,42,ok,0.549680,0.576562,0.026882,0.970205,0.972067,0.001862,8.078309,7.100600,-0.977709,0.550032,0.577478,0.027446,537,537,improved by AUC
David2,low_resolution_medium,low_resolution,medium,42,ok,0.806258,0.782916,-0.023342,1.000000,1.000000,0.000000,1.516361,1.564069,0.047708,0.809038,0.785321,-0.023717,537,537,worse by AUC
David2,gaussian_noise_medium,gaussian_noise,medium,42,ok,0.817542,0.770821,-0.046721,1.000000,0.981378,-0.018622,1.885668,2.604729,0.719061,0.820530,0.773381,-0.047149,537,537,worse by AUC
