condition,degradation,severity,seed,status,baseline_auc,rgssb_100_auc,rgssb_1000_auc,rgssb_100_auc_change,rgssb_1000_auc_change,baseline_precision_20,rgssb_1000_precision_20,rgssb_1000_precision_20_change,baseline_mean_center_error,rgssb_1000_mean_center_error,rgssb_1000_center_error_change,baseline_mean_iou,rgssb_100_mean_iou,rgssb_1000_mean_iou,rgssb_1000_mean_iou_change,baseline_frames,rgssb_100_frames,rgssb_1000_frames,best_auc_model
clean,clean,none,0,ok,0.575995,0.557173,0.552271,-0.018822,-0.023724,0.746078,0.729412,-0.016666,16.455626,17.776442,1.320816,0.575457,0.556524,0.551454,-0.024003,1020,1020,1020,baseline
motion_blur_medium,motion_blur,medium,42,ok,0.157212,0.156805,0.151563,-0.000407,-0.005649,0.198039,0.188235,-0.009804,82.957024,76.561646,-6.395378,0.150176,0.151489,0.146166,-0.004010,1020,1020,1020,baseline
low_resolution_medium,low_resolution,medium,42,ok,0.214881,0.196525,0.216832,-0.018356,0.001951,0.267647,0.289216,0.021569,55.176579,58.990376,3.813797,0.208387,0.189750,0.210939,0.002552,1020,1020,1020,rgssb_1000
gaussian_noise_medium,gaussian_noise,medium,42,ok,0.207270,0.221782,0.229402,0.014512,0.022132,0.250980,0.294118,0.043138,64.898727,62.622993,-2.275734,0.200663,0.215449,0.223167,0.022504,1020,1020,1020,rgssb_1000
