benchmark,sequence,condition,baseline_auc,rgssb_auc,auc_change,baseline_precision_20,rgssb_precision_20,precision_change,baseline_mean_center_error,rgssb_mean_center_error,center_error_change,best_method,notes
NFS,nfs_walking,gaussian_noise_medium,0.584444,0.300009,-0.284435,0.086486,0.021622,-0.064864,91.790886,184.636658,+92.845772,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_basketball_player_2,clean,0.395043,0.396991,+0.001948,0.011442,0.016018,+0.004576,203.575226,203.618561,+0.043335,RG-SSB,RG-SSB near neutral
NFS,nfs_basketball_player_2,motion_blur_medium,0.394726,0.383941,-0.010785,0.009153,0.004577,-0.004576,209.862885,212.910858,+3.047973,OSTrack,RG-SSB near neutral
NFS,nfs_basketball_player_2,low_resolution_medium,0.398056,0.397558,-0.000498,0.004577,0.011442,+0.006865,204.215103,205.180405,+0.965302,OSTrack,RG-SSB near neutral
NFS,nfs_basketball_player_2,gaussian_noise_medium,0.342207,0.385414,+0.043207,0.002288,0.006865,+0.004577,189.831253,184.848236,-4.983017,RG-SSB,RG-SSB improves AUC
NFS,nfs_car_drifting,clean,0.157157,0.114348,-0.042809,0.011561,0.011561,+0.000000,330.028992,391.876099,+61.847107,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_car_drifting,motion_blur_medium,0.161048,0.110742,-0.050306,0.011561,0.011561,+0.000000,323.918701,392.347137,+68.428436,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_car_drifting,low_resolution_medium,0.151262,0.111944,-0.039318,0.011561,0.011561,+0.000000,341.454468,387.546906,+46.092438,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_car_drifting,gaussian_noise_medium,0.180106,0.153208,-0.026898,0.011561,0.011561,+0.000000,319.787842,361.061829,+41.273987,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_car_jumping,clean,0.125563,0.184068,+0.058505,0.045455,0.045455,+0.000000,294.559204,248.707916,-45.851288,RG-SSB,RG-SSB improves AUC
NFS,nfs_car_jumping,motion_blur_medium,0.117912,0.120612,+0.002700,0.045455,0.045455,+0.000000,300.619263,295.997528,-4.621735,RG-SSB,RG-SSB near neutral
NFS,nfs_car_jumping,low_resolution_medium,0.125113,0.125113,+0.000000,0.045455,0.045455,+0.000000,291.497284,284.408630,-7.088654,tie,RG-SSB near neutral
NFS,nfs_car_jumping,gaussian_noise_medium,0.132313,0.069307,-0.063006,0.045455,0.045455,+0.000000,280.478607,700.266479,+419.787872,OSTrack,OSTrack baseline higher by AUC
