corpus_id_a,corpus_id_b,primary_group_a,primary_group_b,pair_type,normalized_structural_similarity,rhetorical_role_sequence_similarity,citation_density_similarity,paragraph_sentence_structure_similarity,contribution_paragraph_similarity,overall_similarity,consistency_label
T2_AH2020_R_SPATIOGRAM_TRACKING,T2_AS2014_EURASIP_ECHO,D,D,within Group D,0.2802,0.2708,0.8033,0.7282,0.8333,0.4303,weakly consistent
T2_AH2020_R_SPATIOGRAM_TRACKING,T2_AS2010_EURASIP_CEPSTRUM,D,D,within Group D,0.3001,0.4444,0.9650,0.4625,0.8333,0.4722,weakly consistent
T2_AH2020_R_SPATIOGRAM_TRACKING,T2_SW2019_HEARING_AIDS,D,D,within Group D,0.2899,0.1111,0.9000,0.4556,0.8333,0.3771,weakly consistent
T2_AH2020_R_SPATIOGRAM_TRACKING,T2_SW2015_COSINE_TCHEBICHEF,D,D,within Group D,0.1417,0.4167,0.9717,0.9276,0.8333,0.4412,weakly consistent
T2_AH2020_R_SPATIOGRAM_TRACKING,T2_SW2013_FRONTIERS_SYNAPTIC,D,D,within Group D,0.2680,0.4167,0.9967,0.9982,0.8333,0.5076,weakly consistent
T2_AS2018_VARIATIONAL_MIXED_NOISE,T2_AS2015_MSAINDELFR,C,A,Group A/B versus Group C,0.0000,0.0000,0.0000,0.0580,1.0000,0.1058,weakly consistent
T2_AS2018_VARIATIONAL_MIXED_NOISE,T2_AS2014_EURASIP_ECHO,C,D,Group C versus Group D,0.7111,0.0182,0.0300,0.4606,1.0000,0.4736,weakly consistent
T2_AS2018_VARIATIONAL_MIXED_NOISE,T2_AS2010_EURASIP_CEPSTRUM,C,D,Group C versus Group D,0.6953,0.0278,0.0000,0.7263,1.0000,0.4925,weakly consistent
T2_AS2018_VARIATIONAL_MIXED_NOISE,T2_SW2019_HEARING_AIDS,C,D,Group C versus Group D,0.6588,0.1000,0.0000,0.7332,1.0000,0.4948,weakly consistent
T2_AS2018_VARIATIONAL_MIXED_NOISE,T2_SW2015_COSINE_TCHEBICHEF,C,D,Group C versus Group D,0.1954,0.0000,0.0000,0.1163,1.0000,0.1996,weakly consistent
T2_AS2018_VARIATIONAL_MIXED_NOISE,T2_SW2013_FRONTIERS_SYNAPTIC,C,D,Group C versus Group D,0.1888,0.0000,0.0000,0.1906,1.0000,0.2040,weakly consistent
T2_AS2015_MSAINDELFR,T2_AS2014_EURASIP_ECHO,A,D,core groups versus Group D,0.0000,0.0000,0.8033,0.5974,1.0000,0.2401,weakly consistent
T2_AS2015_MSAINDELFR,T2_AS2010_EURASIP_CEPSTRUM,A,D,core groups versus Group D,0.0000,0.0000,0.9650,0.3317,1.0000,0.2297,weakly consistent
T2_AS2015_MSAINDELFR,T2_SW2019_HEARING_AIDS,A,D,core groups versus Group D,0.0000,0.0000,0.9000,0.3248,1.0000,0.2225,weakly consistent
T2_AS2015_MSAINDELFR,T2_SW2015_COSINE_TCHEBICHEF,A,D,core groups versus Group D,0.0000,0.0000,0.9717,0.9417,1.0000,0.2913,weakly consistent
T2_AS2015_MSAINDELFR,T2_SW2013_FRONTIERS_SYNAPTIC,A,D,core groups versus Group D,0.0000,0.0000,0.9967,0.8674,1.0000,0.2864,weakly consistent
T2_AS2014_EURASIP_ECHO,T2_AS2010_EURASIP_CEPSTRUM,D,D,within Group D,0.7827,0.2639,0.8383,0.7343,1.0000,0.6755,moderately consistent
T2_AS2014_EURASIP_ECHO,T2_SW2019_HEARING_AIDS,D,D,within Group D,0.8157,0.0182,0.9033,0.7274,1.0000,0.6347,moderately consistent
T2_AS2014_EURASIP_ECHO,T2_SW2015_COSINE_TCHEBICHEF,D,D,within Group D,0.2757,0.5000,0.8317,0.6558,1.0000,0.4978,weakly consistent
T2_AS2014_EURASIP_ECHO,T2_SW2013_FRONTIERS_SYNAPTIC,D,D,within Group D,0.3380,0.4167,0.8067,0.7300,1.0000,0.5099,weakly consistent
T2_AS2010_EURASIP_CEPSTRUM,T2_SW2019_HEARING_AIDS,D,D,within Group D,0.6948,0.1111,0.9350,0.9931,1.0000,0.6332,moderately consistent
T2_AS2010_EURASIP_CEPSTRUM,T2_SW2015_COSINE_TCHEBICHEF,D,D,within Group D,0.3900,0.3333,0.9933,0.3900,1.0000,0.4971,weakly consistent
T2_AS2010_EURASIP_CEPSTRUM,T2_SW2013_FRONTIERS_SYNAPTIC,D,D,within Group D,0.4438,0.3333,0.9683,0.4643,1.0000,0.5263,weakly consistent
T2_SW2019_HEARING_AIDS,T2_SW2015_COSINE_TCHEBICHEF,D,D,within Group D,0.1990,0.0833,0.9283,0.3831,1.0000,0.3415,weakly consistent
T2_SW2019_HEARING_AIDS,T2_SW2013_FRONTIERS_SYNAPTIC,D,D,within Group D,0.2664,0.0833,0.9033,0.4574,1.0000,0.3768,weakly consistent
T2_SW2015_COSINE_TCHEBICHEF,T2_SW2013_FRONTIERS_SYNAPTIC,D,D,within Group D,0.5989,0.9167,0.9750,0.9258,1.0000,0.7887,strongly consistent
