sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_precision_20,hpc_rgssb_precision_20,precision_20_change,baseline_center_error,hpc_rgssb_center_error,center_error_change,best_model,outcome,note
nfs_bottle,low_resolution_medium,low_resolution,medium,42,0.368149,0.338526,-0.029623,0.020922,0.023776,0.002854,218.312500,248.432098,30.119598,baseline,drop,OSTrack remains clearly better by AUC
nfs_bottle,gaussian_noise_medium,gaussian_noise,medium,42,0.390541,0.368973,-0.021568,0.016643,0.018069,0.001426,208.387665,234.473770,26.086105,baseline,drop,OSTrack remains clearly better by AUC
nfs_bird_2,clean,clean,none,0,0.252434,0.259360,0.006926,0.006303,0.010504,0.004201,272.614838,233.346542,-39.268296,hpc_rgssb,neutral,Near neutral by AUC
nfs_bird_2,motion_blur_medium,motion_blur,medium,42,0.253682,0.272964,0.019282,0.010504,0.010504,0.000000,267.806854,244.585724,-23.221130,hpc_rgssb,neutral,Near neutral by AUC
nfs_bird_2,low_resolution_medium,low_resolution,medium,42,0.250957,0.272007,0.021050,0.006303,0.012605,0.006302,269.925629,235.609833,-34.315796,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_bird_2,gaussian_noise_medium,gaussian_noise,medium,42,0.276521,0.260275,-0.016246,0.012605,0.010504,-0.002101,223.684799,215.257858,-8.426941,baseline,neutral,Near neutral by AUC
nfs_walking,clean,clean,none,0,0.222442,0.367193,0.144751,0.030631,0.041441,0.010810,223.869156,169.591141,-54.278015,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_walking,motion_blur_medium,motion_blur,medium,42,0.404799,0.239247,-0.165552,0.037838,0.023423,-0.014415,151.543518,199.849487,48.305969,baseline,drop,OSTrack remains clearly better by AUC
nfs_walking,low_resolution_medium,low_resolution,medium,42,0.222977,0.239408,0.016431,0.023423,0.028829,0.005406,223.581696,200.176178,-23.405518,hpc_rgssb,neutral,Near neutral by AUC
nfs_walking,gaussian_noise_medium,gaussian_noise,medium,42,0.584444,0.300009,-0.284435,0.086486,0.021622,-0.064864,91.790886,184.636658,92.845772,baseline,drop,OSTrack remains clearly better by AUC
nfs_basketball_player_2,clean,clean,none,0,0.395043,0.396991,0.001948,0.011442,0.016018,0.004576,203.575226,203.618561,0.043335,hpc_rgssb,neutral,Near neutral by AUC
nfs_basketball_player_2,motion_blur_medium,motion_blur,medium,42,0.394726,0.383941,-0.010785,0.009153,0.004577,-0.004576,209.862885,212.910858,3.047973,baseline,neutral,Near neutral by AUC
nfs_basketball_player_2,low_resolution_medium,low_resolution,medium,42,0.398056,0.397558,-0.000498,0.004577,0.011442,0.006865,204.215103,205.180405,0.965302,baseline,neutral,Near neutral by AUC
nfs_basketball_player_2,gaussian_noise_medium,gaussian_noise,medium,42,0.342207,0.385414,0.043207,0.002288,0.006865,0.004577,189.831253,184.848236,-4.983017,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_car_drifting,clean,clean,none,0,0.157157,0.114348,-0.042809,0.011561,0.011561,0.000000,330.028992,391.876099,61.847107,baseline,drop,OSTrack remains clearly better by AUC
nfs_car_drifting,motion_blur_medium,motion_blur,medium,42,0.161048,0.110742,-0.050306,0.011561,0.011561,0.000000,323.918701,392.347137,68.428436,baseline,drop,OSTrack remains clearly better by AUC
nfs_car_drifting,low_resolution_medium,low_resolution,medium,42,0.151262,0.111944,-0.039318,0.011561,0.011561,0.000000,341.454468,387.546906,46.092438,baseline,drop,OSTrack remains clearly better by AUC
nfs_car_drifting,gaussian_noise_medium,gaussian_noise,medium,42,0.180106,0.153208,-0.026898,0.011561,0.011561,0.000000,319.787842,361.061829,41.273987,baseline,drop,OSTrack remains clearly better by AUC
nfs_car_jumping,clean,clean,none,0,0.125563,0.184068,0.058505,0.045455,0.045455,0.000000,294.559204,248.707916,-45.851288,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_car_jumping,motion_blur_medium,motion_blur,medium,42,0.117912,0.120612,0.002700,0.045455,0.045455,0.000000,300.619263,295.997528,-4.621735,hpc_rgssb,neutral,Near neutral by AUC
nfs_car_jumping,low_resolution_medium,low_resolution,medium,42,0.125113,0.125113,0.000000,0.045455,0.045455,0.000000,291.497284,284.408630,-7.088654,tie,neutral,Near neutral by AUC
nfs_car_jumping,gaussian_noise_medium,gaussian_noise,medium,42,0.132313,0.069307,-0.063006,0.045455,0.045455,0.000000,280.478607,700.266479,419.787872,baseline,drop,OSTrack remains clearly better by AUC
nfs_cheetah,clean,clean,none,0,0.697634,0.684058,-0.013576,0.011976,0.011976,0.000000,84.933655,83.502937,-1.430718,baseline,neutral,Near neutral by AUC
nfs_cheetah,motion_blur_medium,motion_blur,medium,42,0.707773,0.676172,-0.031601,0.005988,0.011976,0.005988,93.865623,89.306091,-4.559532,baseline,drop,OSTrack remains clearly better by AUC
nfs_cheetah,low_resolution_medium,low_resolution,medium,42,0.701785,0.297919,-0.403866,0.017964,0.005988,-0.011976,90.701317,225.233627,134.532310,baseline,drop,OSTrack remains clearly better by AUC
nfs_cheetah,gaussian_noise_medium,gaussian_noise,medium,42,0.655896,0.646054,-0.009842,0.005988,0.011976,0.005988,114.862274,116.882225,2.019951,baseline,neutral,Near neutral by AUC
nfs_horse_running,clean,clean,none,0,0.150723,0.153786,0.003063,0.007194,0.007194,0.000000,215.121735,216.324051,1.202316,hpc_rgssb,neutral,Near neutral by AUC
nfs_horse_running,motion_blur_medium,motion_blur,medium,42,0.150581,0.154854,0.004273,0.007194,0.007194,0.000000,213.865295,215.142487,1.277192,hpc_rgssb,neutral,Near neutral by AUC
nfs_horse_running,low_resolution_medium,low_resolution,medium,42,0.145594,0.154427,0.008833,0.007194,0.007194,0.000000,217.436096,215.250626,-2.185470,hpc_rgssb,neutral,Near neutral by AUC
nfs_horse_running,gaussian_noise_medium,gaussian_noise,medium,42,0.318470,0.321105,0.002635,0.014388,0.007194,-0.007194,142.423004,155.249374,12.826370,hpc_rgssb,neutral,Near neutral by AUC
nfs_motorcross,clean,clean,none,0,0.325717,0.301346,-0.024371,0.051282,0.051282,0.000000,199.006577,197.242462,-1.764115,baseline,drop,OSTrack remains clearly better by AUC
nfs_motorcross,motion_blur_medium,motion_blur,medium,42,0.325463,0.279259,-0.046204,0.051282,0.051282,0.000000,202.248077,207.814774,5.566697,baseline,drop,OSTrack remains clearly better by AUC
nfs_motorcross,low_resolution_medium,low_resolution,medium,42,0.337395,0.285352,-0.052043,0.051282,0.051282,0.000000,191.738144,198.992538,7.254394,baseline,drop,OSTrack remains clearly better by AUC
nfs_motorcross,gaussian_noise_medium,gaussian_noise,medium,42,0.312008,0.293729,-0.018279,0.051282,0.051282,0.000000,205.039337,214.491669,9.452332,baseline,neutral,Near neutral by AUC
nfs_person_scooter,clean,clean,none,0,0.363484,0.316808,-0.046676,0.002421,0.007264,0.004843,178.560715,195.516953,16.956238,baseline,drop,OSTrack remains clearly better by AUC
nfs_person_scooter,motion_blur_medium,motion_blur,medium,42,0.366504,0.313427,-0.053077,0.004843,0.012107,0.007264,179.195938,221.563370,42.367432,baseline,drop,OSTrack remains clearly better by AUC
nfs_person_scooter,low_resolution_medium,low_resolution,medium,42,0.375015,0.335243,-0.039772,0.004843,0.004843,0.000000,175.754608,185.735474,9.980866,baseline,drop,OSTrack remains clearly better by AUC
nfs_person_scooter,gaussian_noise_medium,gaussian_noise,medium,42,0.356747,0.318342,-0.038405,0.021792,0.002421,-0.019371,171.702026,170.551758,-1.150268,baseline,drop,OSTrack remains clearly better by AUC
nfs_soccer_player_2,clean,clean,none,0,0.314893,0.330693,0.015800,0.010526,0.014737,0.004211,318.439545,287.554565,-30.884980,hpc_rgssb,neutral,Near neutral by AUC
nfs_soccer_player_2,motion_blur_medium,motion_blur,medium,42,0.309349,0.313434,0.004085,0.012632,0.014737,0.002105,315.911041,293.118011,-22.793030,hpc_rgssb,neutral,Near neutral by AUC
nfs_soccer_player_2,low_resolution_medium,low_resolution,medium,42,0.313330,0.329151,0.015821,0.010526,0.018947,0.008421,316.677521,283.736206,-32.941315,hpc_rgssb,neutral,Near neutral by AUC
nfs_soccer_player_2,gaussian_noise_medium,gaussian_noise,medium,42,0.355414,0.382533,0.027119,0.006316,0.008421,0.002105,255.339508,254.497223,-0.842285,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_basketball_1,clean,clean,none,0,0.134225,0.140615,0.006390,0.024823,0.014184,-0.010639,383.880035,373.575745,-10.304290,hpc_rgssb,neutral,Near neutral by AUC
nfs_basketball_1,motion_blur_medium,motion_blur,medium,42,0.144267,0.136016,-0.008251,0.024823,0.021277,-0.003546,375.694519,379.527222,3.832703,baseline,neutral,Near neutral by AUC
nfs_basketball_1,low_resolution_medium,low_resolution,medium,42,0.133382,0.137174,0.003792,0.024823,0.017730,-0.007093,390.475525,383.777252,-6.698273,hpc_rgssb,neutral,Near neutral by AUC
